date,country,population,total,one_shot,one_shot_perc,two_shots,two_shots_perc,three_shots,three_shots_perc,month,year
2021-02-24,Brazil,215313504,7799000,6202055,0.0288,1596945,0.0074,,,2021-02,2021
2021-02-25,Brazil,215313504,8101787,6346769,0.0295,1755018,0.0082,,,2021-02,2021
2021-02-26,Brazil,215313504,8322042,6437836,0.0299,1884206,0.0088,,,2021-02,2021
2021-02-27,Brazil,215313504,8433568,6518628,0.0303,1914940,0.0089,,,2021-02,2021
2021-02-28,Brazil,215313504,8465403,6542206,0.0304,1923197,0.0089,,,2021-02,2021
2021-03-01,Brazil,215313504,8841027,6806293,0.0316,2034734,0.0095,,,2021-03,2021
2021-03-02,Brazil,215313504,9277322,7114219,0.033,2163103,0.01,,,2021-03,2021
2021-03-03,Brazil,215313504,9739676,7417852,0.0345,2321824,0.0108,,,2021-03,2021
2021-03-04,Brazil,215313504,10169160,7701146,0.0358,2468014,0.0115,,,2021-03,2021
2021-03-05,Brazil,215313504,10576542,7958939,0.037,2617603,0.0122,,,2021-03,2021
2021-03-06,Brazil,215313504,10830688,8142004,0.0378,2688684,0.0125,,,2021-03,2021
2021-03-07,Brazil,215313504,10948409,8227671,0.0382,2720738,0.0126,,,2021-03,2021
2021-03-08,Brazil,215313504,11357494,8504966,0.0395,2852528,0.0132,,,2021-03,2021
2021-03-09,Brazil,215313504,11756131,8764547,0.0407,2991584,0.0139,,,2021-03,2021
2021-03-10,Brazil,215313504,12181103,9013293,0.0419,3167810,0.0147,,,2021-03,2021
2021-03-11,Brazil,215313504,12613179,9298511,0.0432,3314668,0.0154,,,2021-03,2021
2021-03-12,Brazil,215313504,13017720,9547655,0.0443,3470065,0.0161,,,2021-03,2021
2021-03-13,Brazil,215313504,13223729,9669967,0.0449,3553762,0.0165,,,2021-03,2021
2021-03-14,Brazil,215313504,13286664,9718209,0.0451,3568455,0.0166,,,2021-03,2021
2021-03-15,Brazil,215313504,13763573,10087787,0.0469,3675786,0.0171,,,2021-03,2021
2021-03-16,Brazil,215313504,14198794,10402388,0.0483,3796406,0.0176,,,2021-03,2021
2021-03-17,Brazil,215313504,14648691,10725474,0.0498,3923217,0.0182,,,2021-03,2021
2021-03-18,Brazil,215313504,15087602,11055747,0.0513,4031855,0.0187,,,2021-03,2021
2021-03-19,Brazil,215313504,15623349,11509501,0.0535,4113848,0.0191,,,2021-03,2021
2021-03-20,Brazil,215313504,15883688,11739832,0.0545,4143856,0.0192,,,2021-03,2021
2021-03-21,Brazil,215313504,15980363,11818482,0.0549,4161881,0.0193,,,2021-03,2021
2021-03-22,Brazil,215313504,16567102,12314847,0.0572,4252255,0.0197,,,2021-03,2021
2021-03-23,Brazil,215313504,17157631,12817812,0.0595,4339819,0.0202,,,2021-03,2021
2021-03-24,Brazil,215313504,17886781,13436373,0.0624,4450408,0.0207,,,2021-03,2021
2021-03-25,Brazil,215313504,18655345,14102934,0.0655,4552411,0.0211,,,2021-03,2021
2021-03-26,Brazil,215313504,19577786,14928869,0.0693,4648917,0.0216,,,2021-03,2021
2021-03-27,Brazil,215313504,19962072,15282128,0.071,4679944,0.0217,,,2021-03,2021
2021-03-28,Brazil,215313504,20216938,15513974,0.0721,4702964,0.0218,,,2021-03,2021
2021-03-29,Brazil,215313504,21160763,16335279,0.0759,4825484,0.0224,,,2021-03,2021
2021-03-30,Brazil,215313504,21950245,16995184,0.0789,4955061,0.023,,,2021-03,2021
2021-03-31,Brazil,215313504,22839287,17745732,0.0824,5093555,0.0237,,,2021-03,2021
2021-04-01,Brazil,215313504,23880805,18639028,0.0866,5241777,0.0243,,,2021-04,2021
2021-04-02,Brazil,215313504,24181208,18900837,0.0878,5280371,0.0245,,,2021-04,2021
2021-04-03,Brazil,215313504,24575470,19222342,0.0893,5353128,0.0249,,,2021-04,2021
2021-04-04,Brazil,215313504,24910668,19510333,0.0906,5400335,0.0251,,,2021-04,2021
2021-04-05,Brazil,215313504,25658532,20056296,0.0931,5602236,0.026,,,2021-04,2021
2021-04-06,Brazil,215313504,26736003,20850120,0.0968,5885883,0.0273,,,2021-04,2021
2021-04-07,Brazil,215313504,27644079,21538484,0.1,6105595,0.0284,,,2021-04,2021
2021-04-08,Brazil,215313504,28653848,22246612,0.1033,6407236,0.0298,,,2021-04,2021
2021-04-09,Brazil,215313504,29544578,22693305,0.1054,6851273,0.0318,,,2021-04,2021
2021-04-10,Brazil,215313504,30084664,23097172,0.1073,6987492,0.0325,,,2021-04,2021
2021-04-11,Brazil,215313504,30356896,23300896,0.1082,7056000,0.0328,,,2021-04,2021
2021-04-12,Brazil,215313504,31316420,23910515,0.111,7405905,0.0344,,,2021-04,2021
2021-04-13,Brazil,215313504,32217205,24473138,0.1137,7744067,0.036,,,2021-04,2021
2021-04-14,Brazil,215313504,33148388,24996380,0.1161,8152008,0.0379,,,2021-04,2021
2021-04-15,Brazil,215313504,34050325,25478194,0.1183,8572131,0.0398,,,2021-04,2021
2021-04-16,Brazil,215313504,34993448,25810304,0.1199,9183144,0.0427,,,2021-04,2021
2021-04-17,Brazil,215313504,35603882,26085155,0.1211,9518727,0.0442,,,2021-04,2021
2021-04-18,Brazil,215313504,35817144,26210282,0.1217,9606862,0.0446,,,2021-04,2021
2021-04-19,Brazil,215313504,36910479,26707227,0.124,10203252,0.0474,,,2021-04,2021
2021-04-20,Brazil,215313504,37909705,27184073,0.1263,10725632,0.0498,,,2021-04,2021
2021-04-21,Brazil,215313504,38467754,27518053,0.1278,10949701,0.0509,,,2021-04,2021
2021-04-22,Brazil,215313504,39291064,27887014,0.1295,11404050,0.053,,,2021-04,2021
2021-04-23,Brazil,215313504,41073104,28783905,0.1337,12289199,0.0571,,,2021-04,2021
2021-04-24,Brazil,215313504,41494939,28981002,0.1346,12513937,0.0581,,,2021-04,2021
2021-04-25,Brazil,215313504,41626753,29041497,0.1349,12585256,0.0585,,,2021-04,2021
2021-04-26,Brazil,215313504,42787199,29601947,0.1375,13185252,0.0612,,,2021-04,2021
2021-04-27,Brazil,215313504,44287510,30275923,0.1406,14011587,0.0651,,,2021-04,2021
2021-04-28,Brazil,215313504,45379804,30748674,0.1428,14631130,0.068,,,2021-04,2021
2021-04-29,Brazil,215313504,46426188,31243694,0.1451,15182494,0.0705,,,2021-04,2021
2021-04-30,Brazil,215313504,47399150,31696792,0.1472,15702358,0.0729,,,2021-04,2021
2021-05-01,Brazil,215313504,47663526,31830880,0.1478,15832646,0.0735,,,2021-05,2021
2021-05-02,Brazil,215313504,47755613,31884404,0.1481,15871209,0.0737,,,2021-05,2021
2021-05-03,Brazil,215313504,48643324,32345310,0.1502,16298014,0.0757,,,2021-05,2021
2021-05-04,Brazil,215313504,49626137,32896171,0.1528,16729966,0.0777,,,2021-05,2021
2021-05-05,Brazil,215313504,50576224,33490395,0.1555,17085829,0.0794,,,2021-05,2021
2021-05-06,Brazil,215313504,51624587,34271192,0.1592,17353395,0.0806,,,2021-05,2021
2021-05-07,Brazil,215313504,52647815,35008550,0.1626,17639265,0.0819,,,2021-05,2021
2021-05-08,Brazil,215313504,52972460,35253389,0.1637,17719071,0.0823,,,2021-05,2021
2021-05-09,Brazil,215313504,53064124,35318058,0.164,17746066,0.0824,,,2021-05,2021
2021-05-10,Brazil,215313504,54008862,35926219,0.1669,18082643,0.084,,,2021-05,2021
2021-05-11,Brazil,215313504,54912939,36523507,0.1696,18389432,0.0854,,,2021-05,2021
2021-05-12,Brazil,215313504,55907165,37233983,0.1729,18673182,0.0867,,,2021-05,2021
2021-05-13,Brazil,215313504,56583962,37768491,0.1754,18815471,0.0874,,,2021-05,2021
2021-05-14,Brazil,215313504,57313642,38320507,0.178,18993135,0.0882,,,2021-05,2021
2021-05-15,Brazil,215313504,57668646,38570631,0.1791,19098015,0.0887,,,2021-05,2021
2021-05-16,Brazil,215313504,57935280,38752714,0.18,19182566,0.0891,,,2021-05,2021
2021-05-17,Brazil,215313504,58714631,39284275,0.1825,19430356,0.0902,,,2021-05,2021
2021-05-18,Brazil,215313504,59603625,39891922,0.1853,19711703,0.0915,,,2021-05,2021
2021-05-19,Brazil,215313504,60363334,40435632,0.1878,19927702,0.0926,,,2021-05,2021
2021-05-20,Brazil,215313504,61297420,41089722,0.1908,20207698,0.0939,,,2021-05,2021
2021-05-21,Brazil,215313504,62122684,41659039,0.1935,20463645,0.095,,,2021-05,2021
2021-05-22,Brazil,215313504,62459684,41882011,0.1945,20577673,0.0956,,,2021-05,2021
2021-05-23,Brazil,215313504,63278821,42474538,0.1973,20804283,0.0966,,,2021-05,2021
2021-05-24,Brazil,215313504,64098809,43008064,0.1997,21090745,0.098,,,2021-05,2021
2021-05-25,Brazil,215313504,64918585,43525933,0.2022,21392652,0.0994,,,2021-05,2021
2021-05-26,Brazil,215313504,65668438,44045168,0.2046,21623270,0.1004,,,2021-05,2021
2021-05-27,Brazil,215313504,66363506,44530761,0.2068,21832745,0.1014,,,2021-05,2021
2021-05-28,Brazil,215313504,67359292,45284397,0.2103,22074895,0.1025,,,2021-05,2021
2021-05-29,Brazil,215313504,67761958,45604680,0.2118,22157278,0.1029,,,2021-05,2021
2021-05-30,Brazil,215313504,67874735,45684962,0.2122,22189773,0.1031,,,2021-05,2021
2021-05-31,Brazil,215313504,68665647,46328168,0.2152,22337479,0.1037,,,2021-05,2021
2021-06-01,Brazil,215313504,69477898,46932629,0.218,22545269,0.1047,,,2021-06,2021
2021-06-02,Brazil,215313504,70685368,47852026,0.2222,22833342,0.106,,,2021-06,2021
2021-06-03,Brazil,215313504,71245492,48321463,0.2244,22924029,0.1065,,,2021-06,2021
2021-06-04,Brazil,215313504,71961789,48963900,0.2274,22997889,0.1068,,,2021-06,2021
2021-06-05,Brazil,215313504,72586950,49491413,0.2299,23095537,0.1073,,,2021-06,2021
2021-06-06,Brazil,215313504,72811509,49685501,0.2308,23126008,0.1074,,,2021-06,2021
2021-06-07,Brazil,215313504,73614079,50381104,0.234,23232975,0.1079,,,2021-06,2021
2021-06-08,Brazil,215313504,74920113,51502554,0.2392,23417559,0.1088,,,2021-06,2021
2021-06-09,Brazil,215313504,76117123,52567517,0.2441,23549606,0.1094,,,2021-06,2021
2021-06-10,Brazil,215313504,77243101,53577624,0.2488,23665477,0.1099,,,2021-06,2021
2021-06-11,Brazil,215313504,78471914,54685737,0.254,23786177,0.1105,,,2021-06,2021
2021-06-12,Brazil,215313504,79118243,55292343,0.2568,23825900,0.1107,,,2021-06,2021
2021-06-13,Brazil,215313504,79466212,55617274,0.2583,23848938,0.1108,,,2021-06,2021
2021-06-14,Brazil,215313504,80577338,56657381,0.2631,23919957,0.1111,,,2021-06,2021
2021-06-15,Brazil,215313504,81940689,57910386,0.269,24030303,0.1116,,,2021-06,2021
2021-06-16,Brazil,215313504,83181485,59068483,0.2743,24113002,0.112,,,2021-06,2021
2021-06-17,Brazil,215313504,85441106,61187304,0.2842,24253802,0.1126,,,2021-06,2021
2021-06-18,Brazil,215313504,87160471,62785859,0.2916,24374612,0.1132,,,2021-06,2021
2021-06-19,Brazil,215313504,88108418,63659153,0.2957,24449265,0.1136,,,2021-06,2021
2021-06-20,Brazil,215313504,88570223,64099339,0.2977,24470884,0.1137,,,2021-06,2021
2021-06-21,Brazil,215313504,90013336,65421825,0.3038,24591511,0.1142,,,2021-06,2021
2021-06-22,Brazil,215313504,91420290,66688623,0.3097,24731667,0.1149,,,2021-06,2021
2021-06-23,Brazil,215313504,92782243,67890907,0.3153,24891336,0.1156,,,2021-06,2021
2021-06-24,Brazil,215313504,94322179,69113521,0.321,25208658,0.1171,,,2021-06,2021
2021-06-25,Brazil,215313504,95764065,70369603,0.3268,25404254,0.118,,,2021-06,2021
2021-06-26,Brazil,215313504,96545254,71090361,0.3302,25520772,0.1185,,,2021-06,2021
2021-06-27,Brazil,215313504,96789753,71319026,0.3312,25568632,0.1188,,,2021-06,2021
2021-06-28,Brazil,215313504,97929680,72324820,0.3359,25866869,0.1201,,,2021-06,2021
2021-06-29,Brazil,215313504,99828676,73943650,0.3434,26348752,0.1224,,,2021-06,2021
2021-06-30,Brazil,215313504,101167462,75097273,0.3488,26642477,0.1237,,,2021-06,2021
2021-07-01,Brazil,215313504,102561737,76284848,0.3543,26949200,0.1252,,,2021-07,2021
2021-07-02,Brazil,215313504,104047565,77586349,0.3603,27259467,0.1266,,,2021-07,2021
2021-07-03,Brazil,215313504,104753510,78210253,0.3632,27418130,0.1273,,,2021-07,2021
2021-07-04,Brazil,215313504,105097389,78512727,0.3646,27489232,0.1277,,,2021-07,2021
2021-07-05,Brazil,215313504,106696625,79835457,0.3708,27854683,0.1294,,,2021-07,2021
2021-07-06,Brazil,215313504,108247755,81152984,0.3769,28317786,0.1315,,,2021-07,2021
2021-07-07,Brazil,215313504,109976127,82649595,0.3839,28929443,0.1344,,,2021-07,2021
2021-07-08,Brazil,215313504,111573265,83948802,0.3899,29547039,0.1372,,,2021-07,2021
2021-07-09,Brazil,215313504,112999344,85166293,0.3955,30044191,0.1395,,,2021-07,2021
2021-07-10,Brazil,215313504,113929447,85922323,0.3991,30387607,0.1411,,,2021-07,2021
2021-07-11,Brazil,215313504,114350128,86272249,0.4007,30545014,0.1419,,,2021-07,2021
2021-07-12,Brazil,215313504,115654260,87264587,0.4053,31003288,0.144,,,2021-07,2021
2021-07-13,Brazil,215313504,117154411,88385719,0.4105,31569503,0.1466,,,2021-07,2021
2021-07-14,Brazil,215313504,118689127,89449394,0.4154,32219034,0.1496,,,2021-07,2021
2021-07-15,Brazil,215313504,120155331,90743692,0.4214,32832460,0.1525,,,2021-07,2021
2021-07-16,Brazil,215313504,121651233,91739486,0.4261,33467323,0.1554,,,2021-07,2021
2021-07-17,Brazil,215313504,122615695,92434146,0.4293,33818142,0.1571,,,2021-07,2021
2021-07-18,Brazil,215313504,122859535,92630599,0.4302,33891244,0.1574,,,2021-07,2021
2021-07-19,Brazil,215313504,124433796,93786760,0.4356,34383717,0.1597,,,2021-07,2021
2021-07-20,Brazil,215313504,126315897,95101845,0.4417,35053766,0.1628,,,2021-07,2021
2021-07-21,Brazil,215313504,128199383,96304601,0.4473,35808080,0.1663,,,2021-07,2021
2021-07-22,Brazil,215313504,130131385,97428671,0.4525,36676823,0.1703,,,2021-07,2021
2021-07-23,Brazil,215313504,131858906,98712936,0.4585,37161762,0.1726,,,2021-07,2021
2021-07-24,Brazil,215313504,132812191,99391757,0.4616,37463852,0.174,,,2021-07,2021
2021-07-25,Brazil,215313504,133139145,99610570,0.4626,37583404,0.1746,,,2021-07,2021
2021-07-26,Brazil,215313504,134540217,100522817,0.4669,38110566,0.177,,,2021-07,2021
2021-07-27,Brazil,215313504,136158369,101528055,0.4715,38761406,0.18,,,2021-07,2021
2021-07-28,Brazil,215313504,137944954,102535345,0.4762,39603390,0.1839,,,2021-07,2021
2021-07-29,Brazil,215313504,139483586,103363365,0.4801,40360686,0.1875,,,2021-07,2021
2021-07-30,Brazil,215313504,141319627,104477597,0.4852,41116889,0.191,,,2021-07,2021
2021-07-31,Brazil,215313504,142301917,105083580,0.488,41507968,0.1928,,,2021-07,2021
2021-08-01,Brazil,215313504,142598659,105292650,0.489,41599313,0.1932,,,2021-08,2021
2021-08-02,Brazil,215313504,143762758,105934725,0.492,42147735,0.1958,,,2021-08,2021
2021-08-03,Brazil,215313504,145618595,107137953,0.4976,42823483,0.1989,,,2021-08,2021
2021-08-04,Brazil,215313504,148054492,108658469,0.5047,43769705,0.2033,,,2021-08,2021
2021-08-05,Brazil,215313504,149763010,109745651,0.5097,44414256,0.2063,,,2021-08,2021
2021-08-06,Brazil,215313504,151506191,110841845,0.5148,45086810,0.2094,,,2021-08,2021
2021-08-07,Brazil,215313504,152313188,111342715,0.5171,45397341,0.2108,,,2021-08,2021
2021-08-08,Brazil,215313504,152680029,111566720,0.5182,45542992,0.2115,,,2021-08,2021
2021-08-09,Brazil,215313504,154190964,112476618,0.5224,46160465,0.2144,,,2021-08,2021
2021-08-10,Brazil,215313504,156399040,113880889,0.5289,46980025,0.2182,,,2021-08,2021
2021-08-11,Brazil,215313504,158422879,115251518,0.5353,47644783,0.2213,,,2021-08,2021
2021-08-12,Brazil,215313504,160674246,116780678,0.5424,48383179,0.2247,,,2021-08,2021
2021-08-13,Brazil,215313504,162832096,118175020,0.5489,49164242,0.2283,,,2021-08,2021
2021-08-14,Brazil,215313504,164215233,119132205,0.5533,49606493,0.2304,,,2021-08,2021
2021-08-15,Brazil,215313504,164680217,119504650,0.555,49705914,0.2309,,,2021-08,2021
2021-08-16,Brazil,215313504,166750328,120686544,0.5605,50600926,0.235,,,2021-08,2021
2021-08-17,Brazil,215313504,169753003,122541955,0.5691,51771235,0.2404,,,2021-08,2021
2021-08-18,Brazil,215313504,171741149,123678883,0.5744,52629848,0.2444,,,2021-08,2021
2021-08-19,Brazil,215313504,174263122,125160916,0.5813,53680684,0.2493,,,2021-08,2021
2021-08-20,Brazil,215313504,176376890,126384146,0.587,54578690,0.2535,,,2021-08,2021
2021-08-21,Brazil,215313504,177587502,127168248,0.5906,55013076,0.2555,,,2021-08,2021
2021-08-22,Brazil,215313504,178173214,127600937,0.5926,55170955,0.2562,,,2021-08,2021
2021-08-23,Brazil,215313504,180251675,128859272,0.5985,55999780,0.2601,,,2021-08,2021
2021-08-24,Brazil,215313504,182654763,130267899,0.605,57002150,0.2647,,,2021-08,2021
2021-08-25,Brazil,215313504,184707573,131489509,0.6107,57838947,0.2686,,,2021-08,2021
2021-08-26,Brazil,215313504,186102952,131918133,0.6127,58811744,0.2731,,,2021-08,2021
2021-08-27,Brazil,215313504,188045400,132939921,0.6174,59746726,0.2775,,,2021-08,2021
2021-08-28,Brazil,215313504,189376018,133608741,0.6205,60412846,0.2806,,,2021-08,2021
2021-08-29,Brazil,215313504,189971293,133947333,0.6221,60672443,0.2818,,,2021-08,2021
2021-08-30,Brazil,215313504,191515901,134777145,0.626,61384034,0.2851,,,2021-08,2021
2021-08-31,Brazil,215313504,194176380,136127045,0.6322,62698760,0.2912,,,2021-08,2021
2021-09-01,Brazil,215313504,196166473,137067385,0.6366,63754375,0.2961,,,2021-09,2021
2021-09-02,Brazil,215313504,198142390,137897705,0.6405,64905651,0.3014,282,0.0,2021-09,2021
2021-09-03,Brazil,215313504,200077775,138653061,0.644,66093601,0.307,373,0.0,2021-09,2021
2021-09-04,Brazil,215313504,201126108,139039441,0.6458,66758831,0.3101,537,0.0,2021-09,2021
2021-09-05,Brazil,215313504,201522079,139210778,0.6465,66984704,0.3111,780,0.0,2021-09,2021
2021-09-06,Brazil,215313504,203024669,139985523,0.6501,67702291,0.3144,14059,0.0001,2021-09,2021
2021-09-07,Brazil,215313504,203577189,140218809,0.6512,68020838,0.3159,17205,0.0001,2021-09,2021
2021-09-08,Brazil,215313504,205296045,140820674,0.654,69133319,0.3211,25446,0.0001,2021-09,2021
2021-09-09,Brazil,215313504,207509808,141565747,0.6575,70594540,0.3279,37195,0.0002,2021-09,2021
2021-09-10,Brazil,215313504,209917761,142382292,0.6613,72173074,0.3352,52191,0.0002,2021-09,2021
2021-09-11,Brazil,215313504,211223433,142798088,0.6632,73050585,0.3393,67596,0.0003,2021-09,2021
2021-09-12,Brazil,215313504,211710814,142983971,0.6641,73355123,0.3407,68590,0.0003,2021-09,2021
2021-09-13,Brazil,215313504,213203733,143433748,0.6662,74381040,0.3455,88874,0.0004,2021-09,2021
2021-09-14,Brazil,215313504,215338063,144100429,0.6693,75814267,0.3521,128791,0.0006,2021-09,2021
2021-09-15,Brazil,215313504,217240047,144761529,0.6723,76990802,0.3576,197261,0.0009,2021-09,2021
2021-09-16,Brazil,215313504,218735998,145238112,0.6745,77988754,0.3622,223085,0.001,2021-09,2021
2021-09-17,Brazil,215313504,221071595,146000277,0.6781,79542916,0.3694,249365,0.0012,2021-09,2021
2021-09-18,Brazil,215313504,222156927,146371189,0.6798,80250454,0.3727,259046,0.0012,2021-09,2021
2021-09-19,Brazil,215313504,222581680,146553215,0.6807,80492254,0.3738,260661,0.0012,2021-09,2021
2021-09-20,Brazil,215313504,223781527,146923305,0.6824,81250428,0.3774,334020,0.0016,2021-09,2021
2021-09-21,Brazil,215313504,225592884,147473077,0.6849,82467468,0.383,381549,0.0018,2021-09,2021
2021-09-22,Brazil,215313504,227304555,147966925,0.6872,83644344,0.3885,427712,0.002,2021-09,2021
2021-09-23,Brazil,215313504,229100357,148510818,0.6897,84869772,0.3942,458735,0.0021,2021-09,2021
2021-09-24,Brazil,215313504,230893002,148994474,0.692,86119839,0.4,520839,0.0024,2021-09,2021
2021-09-25,Brazil,215313504,231983152,149386359,0.6938,86796636,0.4031,543561,0.0025,2021-09,2021
2021-09-26,Brazil,215313504,232495892,149565073,0.6946,87122476,0.4046,552379,0.0026,2021-09,2021
2021-09-27,Brazil,215313504,233772505,149871708,0.6961,87828174,0.4079,818917,0.0038,2021-09,2021
2021-09-28,Brazil,215313504,235617220,150382518,0.6984,89101310,0.4138,882537,0.0041,2021-09,2021
2021-09-29,Brazil,215313504,237320144,150881737,0.7008,90253376,0.4192,937694,0.0044,2021-09,2021
2021-09-30,Brazil,215313504,239190412,151420924,0.7033,91430204,0.4246,1095300,0.0051,2021-09,2021
2021-10-01,Brazil,215313504,241200485,151901209,0.7055,92759486,0.4308,1302298,0.006,2021-10,2021
2021-10-02,Brazil,215313504,242252204,152166987,0.7067,93442685,0.434,1407110,0.0065,2021-10,2021
2021-10-03,Brazil,215313504,242632087,152277364,0.7072,93674362,0.4351,1445470,0.0067,2021-10,2021
2021-10-04,Brazil,215313504,243733571,152519888,0.7084,94337578,0.4381,1643658,0.0076,2021-10,2021
2021-10-05,Brazil,215313504,245292452,152926450,0.7103,95257454,0.4424,1877233,0.0087,2021-10,2021
2021-10-06,Brazil,215313504,247057054,153310124,0.712,96345260,0.4475,2171857,0.0101,2021-10,2021
2021-10-07,Brazil,215313504,248820533,153699490,0.7138,97382944,0.4523,2509515,0.0117,2021-10,2021
2021-10-08,Brazil,215313504,250516351,154010913,0.7153,98464451,0.4573,2814838,0.0131,2021-10,2021
2021-10-09,Brazil,215313504,251524115,154181567,0.7161,99070817,0.4601,3047975,0.0142,2021-10,2021
2021-10-10,Brazil,215313504,252149684,154292724,0.7166,99520881,0.4622,3116010,0.0145,2021-10,2021
2021-10-11,Brazil,215313504,253164892,154580496,0.7179,100085018,0.4648,3281210,0.0152,2021-10,2021
2021-10-12,Brazil,215313504,253561158,154693150,0.7185,100324302,0.4659,3326730,0.0155,2021-10,2021
2021-10-13,Brazil,215313504,254426529,154798792,0.7189,100864092,0.4685,3545399,0.0165,2021-10,2021
2021-10-14,Brazil,215313504,256762148,155526988,0.7223,102264366,0.475,3755046,0.0174,2021-10,2021
2021-10-15,Brazil,215313504,258849471,156015804,0.7246,103527053,0.4808,4093579,0.019,2021-10,2021
2021-10-16,Brazil,215313504,260157865,156313972,0.726,104314315,0.4845,4320556,0.0201,2021-10,2021
2021-10-17,Brazil,215313504,260683274,156420266,0.7265,104630777,0.4859,4428544,0.0206,2021-10,2021
2021-10-18,Brazil,215313504,261824131,156558619,0.7271,105223364,0.4887,4839664,0.0225,2021-10,2021
2021-10-19,Brazil,215313504,263569544,156892317,0.7287,106356335,0.494,5137429,0.0239,2021-10,2021
2021-10-20,Brazil,215313504,265607325,157322792,0.7307,107582227,0.4997,5525142,0.0257,2021-10,2021
